Sample;Station;Depth;Inor;C2_D2;C1_D1;G3_B1;C4_F4;B4;F3;G4;H4;C3;B3;H3;D3;B2;D4;A4;F4;OM;CaCO3;Gravel;VC_Sand;C_Sand;M_Sand;F_Sand;VF_Sand;Mud;Aer AWCD;Mox AWCD;Aer H;Mox H
BB_A_16;BB;16;0.985;0.002;0.091;-0.017;-0.030;0.022;-0.010;0.074;0.048;-0.032;0.022;0.056;0.051;0.032;0.042;0.014;-0.021;6.1;3.28;0.08;0.35;4.79;10.05;22.18;53.46;9.1;1.44;0.99;3.18;3.26
BB_A_26;BB;26;0.985;0.002;0.087;-0.019;-0.032;0.022;-0.008;0.073;0.051;-0.033;0.019;0.057;0.052;0.033;0.044;0.014;-0.021;5.88;3.87900623;0.06;0.46;8.29;10.85;23.75;48.98;7.61;1.23;1.3;3.19;3.26
BB_A_42;BB;42;0.981;0.008;0.080;-0.021;-0.034;0.018;-0.006;0.090;0.083;-0.034;0.018;0.061;0.053;0.029;0.038;0.025;-0.019;4.92;3.51;0;0.08;8.74;9.54;7.95;53.95;20.42;1.1;1.13;3.01;3.27
BOL_A_4;BOL;4;0.984;0.026;0.094;-0.013;-0.033;0.027;-0.004;0.070;0.060;-0.028;0.033;0.051;0.049;0.026;0.042;0.026;-0.008;14.4;6.62;1.28;0.77;8.17;14.54;14.59;49.19;11.46;1.14;1.11;3.23;3.2
BOL_A_16;BOL;16;0.984;0.030;0.100;-0.015;-0.035;0.023;-0.003;0.067;0.057;-0.028;0.039;0.047;0.047;0.028;0.041;0.024;-0.011;15.23;2.32;0.29;0.75;5.57;12.93;13.04;54.23;13.19;1.25;1.23;3.15;3.25
BOL_A_26;BOL;26;0.984;0.037;0.103;-0.025;-0.036;0.023;0.003;0.064;0.050;-0.029;0.035;0.044;0.047;0.033;0.044;0.027;-0.017;17.98;7.76;0.24;0.8;3.63;12.25;16.44;45.83;20.81;1.22;0.74;3.19;3.19
BOL_A_42;BOL;42;0.984;0.008;0.078;-0.019;-0.033;0.015;-0.001;0.073;0.073;-0.032;0.028;0.056;0.048;0.026;0.042;0.014;-0.018;8.47;5.79;0.48;0.46;8.5;13.99;11.99;54.2;10.38;1.24;1.3;3.17;3.23
BOL_A_54;BOL;54;0.981;0.006;0.072;-0.017;-0.035;0.015;-0.001;0.075;0.088;-0.031;0.029;0.059;0.049;0.023;0.040;0.013;-0.015;8.23;5.13;0.14;0.59;6.26;13.01;15.12;55.86;9.02;1.25;1.25;3.16;3.24
ATR_C_4;ATR;4;0.981;0.026;0.092;-0.013;-0.026;0.047;-0.008;0.082;0.047;-0.030;0.022;0.056;0.068;0.047;0.055;0.046;-0.008;7.58;9.85;0.38;1.47;2.8;19.72;22.98;42.71;9.94;1.3;1.32;3.28;3.3
ATR_C_16;ATR;16;0.989;0.011;0.079;-0.014;-0.025;0.027;-0.004;0.057;0.041;-0.028;0.027;0.050;0.039;0.015;0.048;0.013;-0.012;20;6.89;0.17;0.45;1.59;19.65;20.39;51.8;5.95;1.05;0.99;3.17;3.21
ATR_C_26;ATR;26;0.987;0.016;0.093;-0.014;-0.028;0.025;-0.007;0.064;0.042;-0.030;0.030;0.049;0.047;0.025;0.046;0.018;-0.013;12.68;5.25;0.77;0.5;3.1;23.02;17.21;45.42;9.97;1.32;1.02;3.26;3.29
ATR_C_42;ATR;42;0.984;0.009;0.102;-0.015;-0.023;0.028;-0.008;0.073;0.043;-0.029;0.022;0.057;0.054;0.028;0.043;0.020;-0.017;13.27;5.82;0.3;0.51;2.03;11.69;12.52;53.79;19.16;1.33;1.3;3.25;3.22
ATR_C_54;ATR;54;0.981;0.039;0.125;-0.017;-0.032;0.026;-0.003;0.069;0.042;-0.026;0.044;0.042;0.050;0.036;0.039;0.029;-0.015;16.54;7.9;0.64;1.32;2.88;9.47;15.52;54.45;15.72;1.44;1.2;3.25;3.31
ATR_C_66;ATR;66;0.977;0.040;0.158;-0.009;-0.018;0.037;-0.006;0.053;0.007;-0.022;0.049;0.040;0.056;0.037;0.042;0.022;-0.015;24.31;7.94;1.36;2.03;6.25;12.14;15.72;51.39;11.11;1.48;1.24;3.25;3.29
ATR_C_76;ATR;76;0.978;0.038;0.154;0.001;-0.023;0.033;-0.014;0.056;0.013;-0.024;0.054;0.040;0.056;0.031;0.040;0.019;-0.008;18.63;7.01;0.54;0.6;2.6;18.32;19.53;49.22;9.19;1.35;1.14;3.28;3.23
J_C_4;J;4;0.984;0.032;0.100;-0.014;-0.036;0.022;-0.001;0.066;0.064;-0.026;0.041;0.047;0.042;0.022;0.037;0.022;-0.008;14.81;6.54;0.04;0.13;3.89;14.62;13.71;33.57;34.05;1.25;0.92;3.27;3.3
J_C_16;J;16;0.973;0.054;0.168;-0.001;-0.024;0.042;-0.018;0.056;-0.001;-0.023;0.054;0.035;0.058;0.036;0.043;0.032;-0.004;27.72;8.96;0.21;0.93;7.86;14.85;13.75;50.05;12.35;1.19;1.22;3.17;3.22
J_C_26;J;26;0.969;0.064;0.181;0.006;-0.021;0.046;-0.020;0.052;-0.005;-0.020;0.063;0.031;0.057;0.034;0.043;0.033;0.002;34.65;6.68063765;1.07;1.87;9.79;17.48;16.89;35.39;17.52;1.64;1.07;3.25;3.3
J_C_42;J;42;0.985;0.016;0.100;-0.012;-0.030;0.027;-0.005;0.062;0.043;-0.028;0.034;0.050;0.050;0.032;0.046;0.016;-0.014;13.55;6.709460406;0.09;1.15;9.44;15.5;13.54;35.04;25.24;1.53;1.12;3.27;3.26
J_C_54;J;54;0.960;0.053;0.185;0.007;-0.012;0.072;-0.027;0.066;-0.021;-0.017;0.038;0.045;0.083;0.057;0.054;0.053;0.000;44.06;7.002443218;0.22;1.3;7.85;16.36;18.79;40.04;15.43;1.53;1.3;3.27;3.29
J_C_66;J;66;0.985;0.019;0.116;-0.006;-0.027;0.026;-0.011;0.056;0.030;-0.027;0.041;0.046;0.048;0.026;0.044;0.010;-0.011;13.84;6.491304445;0.06;0.5;4.89;20.67;22.96;41.18;9.73;1.36;1.06;3.22;3.24
